# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 25K of event 'cycles'
# Event count (approx.): 1466031924
#
# Overhead  Command  Shared Object        Symbol                                                                                         
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................
#
     0.23%  node     libgcc_s.so.1        [.] __floatsidf                                                                                                                                                                                                                                                                    
     0.23%  node     node                 [.] v8::internal::List<v8::internal::FuncNameInferrer::Name, v8::internal::ZoneAllocationPolicy>::Add                                                                                                                                                                              
     0.22%  node     [kernel.kallsyms]    [k] r4k_blast_dcache_page_dc32                                                                                                                                                                                                                                                     
     0.22%  node     node                 [.] v8::internal::HGraph::Optimize                                                                                                                                                                                                                                                 
     0.22%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseConditionalExpression                                                                                                                                                                                               
     0.22%  node     node                 [.] v8::internal::FixedArray::set                                                                                                                                                                                                                                                  
     0.22%  node     node                 [.] v8::internal::CodeStub::GetCode                                                                                                                                                                                                                                                
     0.22%  node     node                 [.] v8::internal::Factory::NewCode                                                                                                                                                                                                                                                 
     0.21%  node     [kernel.kallsyms]    [k] handle_sys                                                                                                                                                                                                                                                                     
     0.21%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseMemberExpression                                                                                                                                                                                                    
     0.21%  node     node                 [.] v8::internal::FuncNameInferrer::PushVariableName                                                                                                                                                                                                                               
     0.21%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::Expect                                                                                                                                                                                                                   
     0.21%  node     node                 [.] v8::internal::MacroAssembler::li                                                                                                                                                                                                                                               
     0.20%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseUnaryExpression                                                                                                                                                                                                     
     0.20%  node     node                 [.] v8::internal::Parser::ParseVariableDeclarations                                                                                                                                                                                                                                
     0.20%  node     node                 [.] v8::internal::Parser::Declare                                                                                                                                                                                                                                                  
     0.20%  node     node                 [.] v8::internal::LookupIterator::Next                                                                                                                                                                                                                                             
     0.20%  node     node                 [.] v8::internal::Assembler::target_address_at                                                                                                                                                                                                                                     
     0.20%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseMemberWithNewPrefixesExpression                                                                                                                                                                                     
     0.19%  node     [kernel.kallsyms]    [k] __do_softirq                                                                                                                                                                                                                                                                   
     0.19%  node     libgcc_s.so.1        [.] __fixunsdfsi                                                                                                                                                                                                                                                                   
     0.19%  node     node                 [.] v8::internal::Code::CopyFrom                                                                                                                                                                                                                                                   
     0.19%  node     node                 [.] v8::internal::Scanner::ScanNumber                                                                                                                                                                                                                                              
     0.19%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseIdentifier                                                                                                                                                                                                          
     0.19%  node     node                 [.] v8::internal::Assembler::BlockTrampolinePoolScope::~BlockTrampolinePoolScope                                                                                                                                                                                                   
     0.18%  node     node                 [.] v8::internal::MacroAssembler::BranchShort                                                                                                                                                                                                                                      
     0.18%  node     node                 [.] v8::internal::IC::OnTypeFeedbackChanged                                                                                                                                                                                                                                        
     0.18%  node     node                 [.] v8::internal::Zone::adjust_segment_bytes_allocated                                                                                                                                                                                                                             
     0.18%  node     node                 [.] v8::internal::String::IsOneByteEqualTo                                                                                                                                                                                                                                         
     0.18%  node     node                 [.] v8::internal::HeapObject::SizeFromMap                                                                                                                                                                                                                                          
     0.18%  node     node                 [.] v8::internal::StringTable::LookupKey                                                                                                                                                                                                                                           
     0.17%  node     [kernel.kallsyms]    [k] r4k_flush_icache_range                                                                                                                                                                                                                                                         
     0.17%  node     node                 [.] v8::internal::Factory::NewNumber                                                                                                                                                                                                                                               
     0.17%  node     libc-2.19.so         [.] strlen                                                                                                                                                                                                                                                                         
     0.17%  node     node                 [.] v8::internal::Assembler::GenInstrImmediate                                                                                                                                                                                                                                     
     0.17%  node     node                 [.] v8::internal::FuncNameInferrer::Enter                                                                                                                                                                                                                                          
     0.17%  node     node                 [.] v8::internal::LAllocator::AllocateRegisters                                                                                                                                                                                                                                    
     0.17%  node     node                 [.] v8::internal::Parser::ParseStatement                                                                                                                                                                                                                                           
     0.17%  node     ld-2.19.so           [.] 0x00008f0c                                                                                                                                                                                                                                                                     
     0.16%  node     node                 [.] v8::internal::LAllocator::ProcessInstructions                                                                                                                                                                                                                                  
     0.16%  node     node                 [.] v8::internal::AstNodeFactory<v8::internal::AstConstructionVisitor>::NewProperty                                                                                                                                                                                                
     0.16%  node     libgcc_s.so.1        [.] __fixdfsi                                                                                                                                                                                                                                                                      
     0.16%  node     node                 [.] v8::internal::LAllocator::TryAllocateFreeReg                                                                                                                                                                                                                                   
     0.16%  node     libgcc_s.so.1        [.] __fpcmp_parts_d                                                                                                                                                                                                                                                                
     0.16%  node     node                 [.] v8::internal::Scanner::AddLiteralCharAdvance                                                                                                                                                                                                                                   
     0.15%  node     node                 [.] v8::internal::InnerPointerToCodeCache::GcSafeFindCodeForInnerPointer                                                                                                                                                                                                           
     0.15%  node     node                 [.] v8::internal::ParserTraits::ExpressionFromLiteral                                                                                                                                                                                                                              
     0.15%  node     node                 [.] v8::internal::Scope::LookupRecursive                                                                                                                                                                                                                                           
     0.15%  node     node                 [.] v8::internal::AstValue::Internalize                                                                                                                                                                                                                                            
     0.15%  node     node                 [.] v8::internal::HDeadCodeEliminationPhase::MarkLive                                                                                                                                                                                                                              
     0.15%  node     node                 [.] v8::internal::InnerPointerToCodeCache::GetCacheEntry                                                                                                                                                                                                                           
     0.15%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParsePostfixExpression                                                                                                                                                                                                   
     0.15%  node     node                 [.] v8::internal::Scope::SetDefaults                                                                                                                                                                                                                                               
     0.15%  node     node                 [.] v8::internal::HandleScope::CreateHandle<v8::internal::Code>                                                                                                                                                                                                                    
     0.14%  node     node                 [.] v8::internal::Assembler::RecordRelocInfo                                                                                                                                                                                                                                       
     0.14%  node     node                 [.] v8::internal::Scope::LookupLocal                                                                                                                                                                                                                                               
     0.14%  node     node                 [.] v8::internal::Scope::MustAllocate                                                                                                                                                                                                                                              
     0.14%  node     node                 [.] v8::internal::VariableMap::Lookup                                                                                                                                                                                                                                              
     0.14%  node     node                 [.] v8::internal::Scope::Scope                                                                                                                                                                                                                                                     
     0.14%  node     node                 [.] v8::internal::JSObject::MigrateFastToFast                                                                                                                                                                                                                                      
     0.14%  node     node                 [.] v8::internal::Scanner::CurrentSymbol                                                                                                                                                                                                                                           
     0.14%  node     ld-2.19.so           [.] 0x00018ebc                                                                                                                                                                                                                                                                     
     0.14%  node     node                 [.] v8::internal::AstNodeFactory<v8::internal::AstConstructionVisitor>::NewCall                                                                                                                                                                                                    
     0.13%  node     node                 [.] v8::internal::Scope::DeclarationScope                                                                                                                                                                                                                                          
     0.13%  node     node                 [.] v8::internal::Heap::Allocate                                                                                                                                                                                                                                                   
     0.13%  node     node                 [.] v8::internal::MacroAssembler::Call                                                                                                                                                                                                                                             
     0.13%  node     node                 [.] v8::internal::FuncNameInferrer::Leave                                                                                                                                                                                                                                          
     0.13%  node     node                 [.] v8::internal::Zone::DeleteAll                                                                                                                                                                                                                                                  
