# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 25K of event 'cycles'
# Event count (approx.): 1466031924
#
# Overhead  Command  Shared Object        Symbol                                                                                         
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................
#
     0.04%  node     node                 [.] 0x0070d3a0                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::HValue::Hashcode                                                                                                                                                                                                                                                 
     0.04%  node     node                 [.] v8::internal::PropertyHandlerCompiler::CheckPrototypes                                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::HandleScope::CreateHandle<v8::internal::Object>                                                                                                                                                                                                                  
     0.04%  node     libpthread-2.19.so   [.] _pthread_cleanup_push_defer                                                                                                                                                                                                                                                    
     0.04%  node     node                 [.] v8::internal::String::IsUtf8EqualTo                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] 0x003b7db8                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::TypeImpl<v8::internal::HeapTypeConfig>::Is                                                                                                                                                                                                                       
     0.04%  node     node                 [.] v8::internal::TypeImpl<v8::internal::HeapTypeConfig>::BitsetType::Lub                                                                                                                                                                                                          
     0.04%  node     node                 [.] v8::internal::AstConstructionVisitor::VisitCallRuntime                                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::Runtime_DeclareGlobals                                                                                                                                                                                                                                           
     0.04%  node     libc-2.19.so         [.] vsnprintf                                                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::LookupIterator::TransitionToDataProperty                                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::AstRawStringInternalizationKey::IsMatch                                                                                                                                                                                                                          
     0.04%  node     node                 [.] v8::internal::RelocIterator::ReadTaggedPC                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::Scope::AddDeclaration                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::LChunkBuilder::DoBasicBlock                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::LiveRange::ShouldBeAllocatedBefore                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::Zone::Zone                                                                                                                                                                                                                                                       
     0.04%  node     [kernel.kallsyms]    [k] __zone_watermark_ok                                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::AstValue::IsPropertyName                                                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::HValue::SetBlock                                                                                                                                                                                                                                                 
     0.04%  node     node                 [.] v8::internal::HValue::Equals                                                                                                                                                                                                                                                   
     0.04%  node     node                 [.] v8::internal::LGap::IsGap                                                                                                                                                                                                                                                      
     0.04%  node     ld-2.19.so           [.] 0x00008efc                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::Name::Equals                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::Assembler::or_                                                                                                                                                                                                                                                   
     0.04%  node     node                 [.] 0x0070df60                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::Literal::node_type                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::HComputeChangeUndefinedToNaN::Run                                                                                                                                                                                                                                
     0.04%  node     node                 [.] v8::internal::Dictionary<v8::internal::NameDictionary, v8::internal::NameDictionaryShape, v8::internal::Handle<v8::internal::Name> >::Add                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::OStream::operator<<                                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::CompilationPhase::~CompilationPhase                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::Heap::OnMoveEvent                                                                                                                                                                                                                                                
     0.04%  node     node                 [.] v8::internal::MacroAssembler::BranchShort                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::LAllocator::Use                                                                                                                                                                                                                                                  
     0.04%  node     node                 [.] v8::internal::LChunk::MarkEmptyBlocks                                                                                                                                                                                                                                          
     0.04%  node     node                 [.] v8::internal::CodeGenerator::RecordPositions                                                                                                                                                                                                                                   
     0.04%  node     node                 [.] v8::internal::MacroAssembler::LoadRoot                                                                                                                                                                                                                                         
     0.04%  node     perf-1784.map        [.] 0x4c08b0e0                                                                                                                                                                                                                                                                     
     0.04%  node     libc-2.19.so         [.] 0x00072fc0                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::Object::AddDataProperty                                                                                                                                                                                                                                          
     0.04%  node     node                 [.] v8::internal::CodeGenerator::MakeCodePrologue                                                                                                                                                                                                                                  
     0.04%  node     node                 [.] v8::internal::Parser::ParseForStatement                                                                                                                                                                                                                                        
     0.04%  node     node                 [.] v8::internal::AstValueFactory::empty_string                                                                                                                                                                                                                                    
     0.04%  node     node                 [.] v8::internal::Block::AddStatement                                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::AstNode::IsCallNew                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::DescriptorArray::Sort                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::SideEffectsTracker::ComputeDependsOn                                                                                                                                                                                                                             
     0.04%  node     node                 [.] v8::internal::TypeImpl<v8::internal::HeapTypeConfig>::Class                                                                                                                                                                                                                    
     0.04%  node     node                 [.] v8::internal::Map::ConnectTransition                                                                                                                                                                                                                                           
     0.04%  node     node                 [.] v8::internal::FullCodeGenerator::CallIC                                                                                                                                                                                                                                        
     0.04%  node     node                 [.] v8::internal::Malloced::Delete                                                                                                                                                                                                                                                 
     0.04%  node     node                 [.] v8::internal::Factory::NewCodeRaw                                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::HBasicBlock::AddInstruction                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::CallIC::HandleMiss                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::MacroAssembler::pop                                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::Map::is_dictionary_map                                                                                                                                                                                                                                           
     0.04%  node     [kernel.kallsyms]    [k] page_remove_rmap                                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::LTemplateResultInstruction<1>::result                                                                                                                                                                                                                            
     0.04%  node     perf-1784.map        [.] Stub:JSEntryStub                                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::IC::ComputeHandler                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::Call::GetCallType                                                                                                                                                                                                                                                
     0.04%  node     node                 [.] v8::internal::LCodeGen::DoGap                                                                                                                                                                                                                                                  
     0.04%  node     node                 [.] v8::internal::LGapResolver::Resolve                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::BitVector::Clear                                                                                                                                                                                                                                                 
     0.04%  node     node                 [.] v8::internal::ParserBase<v8::internal::ParserTraits>::ParseIdentifierName                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::ParserTraits::ExpressionFromString                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::Scope::HasTrivialContext                                                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::Scope::DeclareLocal                                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::LAllocator::FixedLiveRangeFor                                                                                                                                                                                                                                    
     0.04%  node     node                 [.] v8::internal::AstNode::IsCall                                                                                                                                                                                                                                                  
     0.04%  node     node                 [.] v8::internal::HInstructionMap::Kill                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::HInstructionMap::Resize                                                                                                                                                                                                                                          
     0.04%  node     libgcc_s.so.1        [.] __eqdf2                                                                                                                                                                                                                                                                        
     0.04%  node     [kernel.kallsyms]    [k] __up_read                                                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] 0x00208994                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::ZoneList<v8::internal::Variable*>::ZoneList                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::CodeEventLogger::CodeCreateEvent                                                                                                                                                                                                                                 
     0.04%  node     node                 [.] v8::internal::HGraph::LookupValue                                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::HInferTypesPhase::InferTypes                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] 0x0070df64                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::GvnBasicBlockState::next_dominated                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::FullCodeGenerator::ExpressionContext::~ExpressionContext                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::MacroAssembler::Jump                                                                                                                                                                                                                                             
     0.04%  node     perf-1784.map        [.] 0x4c08b160                                                                                                                                                                                                                                                                     
     0.04%  node     node                 [.] v8::internal::FullCodeGenerator::VisitDeclarations                                                                                                                                                                                                                             
     0.04%  node     node                 [.] v8::internal::Map::EnsureDescriptorSlack                                                                                                                                                                                                                                       
     0.04%  node     [kernel.kallsyms]    [k] free_pages_and_swap_cache                                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::TypeImpl<v8::internal::ZoneTypeConfig>::SlowIs                                                                                                                                                                                                                   
     0.04%  node     node                 [.] v8::internal::HBasicBlock::CreateSimulate                                                                                                                                                                                                                                      
     0.04%  node     node                 [.] v8::internal::Factory::NewFunctionFromSharedFunctionInfo                                                                                                                                                                                                                       
     0.04%  node     node                 [.] v8::internal::LAllocator::Define                                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::List<v8::internal::LInstruction*, v8::internal::ZoneAllocationPolicy>::Add                                                                                                                                                                                       
     0.04%  node     node                 [.] v8::internal::LAllocator::Allocate                                                                                                                                                                                                                                             
     0.04%  node     node                 [.] v8::internal::HGraphBuilder::BuildBinaryOperation                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::Heap::UpdateAllocationSiteFeedback                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::HRedundantPhiEliminationPhase::Run                                                                                                                                                                                                                               
     0.04%  node     node                 [.] v8::internal::StoreBuffer::Compact                                                                                                                                                                                                                                             
     0.04%  node     node                 [.] v8::internal::Map::HasTransitionArray                                                                                                                                                                                                                                          
     0.04%  node     node                 [.] v8::internal::Script::GetLineNumberWithArray                                                                                                                                                                                                                                   
     0.04%  node     node                 [.] v8::internal::Parser::Parse                                                                                                                                                                                                                                                    
     0.04%  node     node                 [.] v8::internal::Map::CopyWithConstant                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::LCodeGen::PopulateDeoptimizationData                                                                                                                                                                                                                             
     0.04%  node     node                 [.] v8::internal::Map::LookupTransition                                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::MacroAssembler::Jump                                                                                                                                                                                                                                             
     0.04%  node     node                 [.] v8::internal::FullCodeGenerator::VisitForStackValue                                                                                                                                                                                                                            
     0.04%  node     node                 [.] v8::internal::FullCodeGenerator::VisitIfStatement                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::Scope::LookupFunctionVar                                                                                                                                                                                                                                         
     0.04%  node     node                 [.] v8::internal::LiveRange::HasAllocatedSpillOperand                                                                                                                                                                                                                              
     0.04%  node     node                 [.] v8::internal::FullCodeGenerator::VisitBlock                                                                                                                                                                                                                                    
     0.04%  node     node                 [.] v8::internal::LChunkBuilder::VisitInstruction                                                                                                                                                                                                                                  
     0.03%  node     node                 [.] v8::internal::CodeGenerator::PrintCode                                                                                                                                                                                                                                         
     0.03%  node     node                 [.] v8::internal::AstConstructionVisitor::VisitCall                                                                                                                                                                                                                                
     0.03%  node     node                 [.] v8::internal::LookupIterator::GetReceiver                                                                                                                                                                                                                                      
     0.03%  node     node                 [.] v8::internal::PositionsRecorder::RecordPosition                                                                                                                                                                                                                                
     0.03%  node     node                 [.] v8::internal::Logger::CodeCreateEvent                                                                                                                                                                                                                                          
     0.03%  node     node                 [.] v8::internal::TempIterator::TempIterator                                                                                                                                                                                                                                       
     0.03%  node     node                 [.] v8::internal::JSObject::SetFastElement                                                                                                                                                                                                                                         
     0.03%  node     node                 [.] v8::internal::HGlobalValueNumberingPhase::HGlobalValueNumberingPhase                                                                                                                                                                                                           
     0.03%  node     node                 [.] v8::internal::HEscapeAnalysisPhase::CollectCapturedValues                                                                                                                                                                                                                      
     0.03%  node     node                 [.] v8::internal::Parser::NewUnresolved                                                                                                                                                                                                                                            
     0.03%  node     node                 [.] non-virtual thunk to v8::internal::Property::ComputeFeedbackSlotCount()                                                                                                                                                                                                        
     0.03%  node     node                 [.] v8::internal::PropertyDetails::AsSmi                                                                                                                                                                                                                                           
     0.03%  node     node                 [.] v8::internal::HConstant::HConstant                                                                                                                                                                                                                                             
     0.03%  node     node                 [.] v8::internal::AstValueFactory::NewBoolean                                                                                                                                                                                                                                      
     0.03%  node     node                 [.] 0x0070ccf0                                                                                                                                                                                                                                                                     
     0.03%  node     node                 [.] v8::internal::Map::UpdateCodeCache                                                                                                                                                                                                                                             
     0.03%  node     node                 [.] v8::internal::HEnvironment::Bind                                                                                                                                                                                                                                               
     0.03%  node     node                 [.] v8::internal::HValue::IsControlInstruction                                                                                                                                                                                                                                     
     0.03%  node     node                 [.] v8::internal::JSObject::AddPropertyInternal                                                                                                                                                                                                                                    
     0.03%  node     node                 [.] v8::internal::OStringStream::write                                                                                                                                                                                                                                             
     0.03%  node     node                 [.] v8::internal::LoadIC::UpdateCaches                                                                                                                                                                                                                                             
     0.03%  node     node                 [.] v8::internal::LookupIterator::LookupIterator                                                                                                                                                                                                                                   
     0.03%  node     node                 [.] v8::internal::Dictionary<v8::internal::UnseededNumberDictionary, v8::internal::UnseededNumberDictionaryShape, unsigned int>::AddEntry                                                                                                                                          
     0.03%  node     node                 [.] v8::internal::LEnvironment::AddValue                                                                                                                                                                                                                                           
     0.03%  node     node                 [.] v8::internal::HLoadEliminationTable::Process                                                                                                                                                                                                                                   
     0.03%  node     node                 [.] v8::internal::HGlobalValueNumberingPhase::ComputeBlockSideEffects                                                                                                                                                                                                              
     0.03%  node     [kernel.kallsyms]    [k] __lru_cache_add                                                                                                                                                                                                                                                                
     0.03%  node     node                 [.] std::__unguarded_linear_insert<v8::internal::VarAndOrder*, v8::internal::Vector<v8::internal::VarAndOrder>::RawComparer>                                                                                                                                                       
     0.03%  node     [kernel.kallsyms]    [k] sys_cacheflush                                                                                                                                                                                                                                                                 
     0.03%  node     [kernel.kallsyms]    [k] __down_read                                                                                                                                                                                                                                                                    
