# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6199007
#
# Overhead  Command  Shared Object      Symbol                                 
# ........  .......  .................  .......................................
#
     0.25%  lua      [kernel.kallsyms]  [k] filemap_fault                      
     0.25%  lua      [kernel.kallsyms]  [k] flush_signal_handlers              
     0.25%  lua      [kernel.kallsyms]  [k] vm_mmap_pgoff                      
     0.25%  lua      [kernel.kallsyms]  [k] vma_merge                          
     0.25%  lua      [kernel.kallsyms]  [k] vmacache_find                      
     0.23%  lua      [kernel.kallsyms]  [k] fput                               
     0.23%  lua      [kernel.kallsyms]  [k] free_hot_cold_page                 
     0.23%  lua      [kernel.kallsyms]  [k] mark_page_accessed                 
     0.23%  lua      [kernel.kallsyms]  [k] tlb_do_page_fault_0                
     0.23%  lua      [kernel.kallsyms]  [k] vmacache_valid_mm                  
     0.20%  lua      [kernel.kallsyms]  [k] d_path                             
     0.20%  lua      [kernel.kallsyms]  [k] do_cow_fault.isra.99               
     0.20%  lua      [kernel.kallsyms]  [k] get_empty_filp                     
     0.20%  lua      [kernel.kallsyms]  [k] path_lookupat                      
     0.20%  lua      [kernel.kallsyms]  [k] path_openat                        
     0.20%  lua      [kernel.kallsyms]  [k] r4k_flush_cache_range              
     0.20%  lua      [kernel.kallsyms]  [k] unmapped_area_topdown              
     0.20%  lua      [kernel.kallsyms]  [k] vfs_read                           
     0.20%  lua      [kernel.kallsyms]  [k] vma_link                           
     0.19%  lua      [kernel.kallsyms]  [k] local_flush_tlb_range              
     0.19%  lua      [kernel.kallsyms]  [k] vm_normal_page                     
     0.19%  lua      ld-2.19.so         [.] 0x00010590                         
     0.19%  lua      ld-2.19.so         [.] 0x00019920                         
     0.16%  lua      [kernel.kallsyms]  [k] arch_get_unmapped_area_common      
     0.16%  lua      [kernel.kallsyms]  [k] copy_page_to_iter                  
     0.16%  lua      [kernel.kallsyms]  [k] cp_new_stat64                      
     0.16%  lua      [kernel.kallsyms]  [k] do_dentry_open.isra.16             
     0.16%  lua      [kernel.kallsyms]  [k] do_last.isra.58                    
     0.16%  lua      [kernel.kallsyms]  [k] do_munmap                          
     0.16%  lua      [kernel.kallsyms]  [k] find_vma_links                     
     0.16%  lua      [kernel.kallsyms]  [k] getname_flags                      
     0.16%  lua      [kernel.kallsyms]  [k] lookup_fast                        
     0.16%  lua      [kernel.kallsyms]  [k] perf_event__output_id_sample       
     0.16%  lua      [kernel.kallsyms]  [k] remove_vma                         
     0.16%  lua      [kernel.kallsyms]  [k] tlb_do_page_fault_1                
     0.16%  lua      [kernel.kallsyms]  [k] vm_pgprot_modify                   
     0.16%  lua      [kernel.kallsyms]  [k] vma_rb_erase                       
     0.15%  lua      [kernel.kallsyms]  [k] __free_pages_ok                    
     0.15%  lua      [kernel.kallsyms]  [k] activate_page                      
     0.15%  lua      [kernel.kallsyms]  [k] cap_mmap_addr                      
     0.15%  lua      [kernel.kallsyms]  [k] cap_vm_enough_memory               
     0.15%  lua      [kernel.kallsyms]  [k] lockref_put_or_lock                
     0.15%  lua      [kernel.kallsyms]  [k] n_tty_write                        
     0.15%  lua      [kernel.kallsyms]  [k] pid_nr_ns                          
     0.15%  lua      [kernel.kallsyms]  [k] queue_work_on                      
     0.15%  lua      [kernel.kallsyms]  [k] sys_rt_sigaction                   
     0.15%  lua      [kernel.kallsyms]  [k] task_work_add                      
     0.15%  lua      [kernel.kallsyms]  [k] vfs_write                          
     0.15%  lua      [mt_wifi]          [k] GetPacketFromRxRing                
