# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6199007
#
# Overhead  Command  Shared Object      Symbol                                 
# ........  .......  .................  .......................................
#
     0.04%  lua      [kernel.kallsyms]  [k] page_mapping                       
     0.04%  lua      [kernel.kallsyms]  [k] perf_event_aux_ctx                 
     0.04%  lua      [kernel.kallsyms]  [k] perf_event_comm_output             
     0.04%  lua      [kernel.kallsyms]  [k] perf_event_header__init_id         
     0.04%  lua      [kernel.kallsyms]  [k] ptep_clear_flush                   
     0.04%  lua      [kernel.kallsyms]  [k] put_cred_rcu                       
     0.04%  lua      [kernel.kallsyms]  [k] put_filp                           
     0.04%  lua      [kernel.kallsyms]  [k] radix_tree_next_chunk              
     0.04%  lua      [kernel.kallsyms]  [k] rcu_sched_qs                       
     0.04%  lua      [kernel.kallsyms]  [k] ret_from_exception                 
     0.04%  lua      [kernel.kallsyms]  [k] run_timer_softirq                  
     0.04%  lua      [kernel.kallsyms]  [k] rw_verify_area                     
     0.04%  lua      [kernel.kallsyms]  [k] start_thread                       
     0.04%  lua      [kernel.kallsyms]  [k] sys_fstat64                        
     0.04%  lua      [kernel.kallsyms]  [k] sys_lseek                          
     0.04%  lua      [kernel.kallsyms]  [k] sys_mprotect                       
     0.04%  lua      [kernel.kallsyms]  [k] syscall_exit_partial               
     0.04%  lua      [kernel.kallsyms]  [k] terminate_walk                     
     0.04%  lua      [kernel.kallsyms]  [k] tlb_flush_mmu_free                 
     0.04%  lua      [kernel.kallsyms]  [k] tlb_gather_mmu                     
     0.04%  lua      [kernel.kallsyms]  [k] total_mapping_size                 
     0.04%  lua      [kernel.kallsyms]  [k] truncate_inode_pages_final         
     0.04%  lua      [kernel.kallsyms]  [k] try_module_get                     
     0.04%  lua      [kernel.kallsyms]  [k] unlazy_walk                        
     0.04%  lua      [kernel.kallsyms]  [k] unlink_file_vma                    
     0.04%  lua      [kernel.kallsyms]  [k] unmap_region                       
     0.04%  lua      [kernel.kallsyms]  [k] vfs_open                           
     0.04%  lua      [kernel.kallsyms]  [k] vfs_setpos                         
     0.04%  lua      [kernel.kallsyms]  [k] vm_munmap                          
     0.04%  lua      [kernel.kallsyms]  [k] vma_gap_callbacks_rotate           
     0.04%  lua      [kernel.kallsyms]  [k] would_dump                         
     0.04%  lua      [kernel.kallsyms]  [k] zone_watermark_ok                  
     0.04%  lua      ld-2.19.so         [.] calloc                             
     0.04%  lua      ld-2.19.so         [.] malloc                             
     0.04%  lua      ld-2.19.so         [.] 0x000016c0                         
     0.04%  lua      ld-2.19.so         [.] 0x00001d44                         
     0.04%  lua      ld-2.19.so         [.] 0x00001fc0                         
     0.04%  lua      ld-2.19.so         [.] 0x00002050                         
     0.04%  lua      ld-2.19.so         [.] 0x00002840                         
     0.04%  lua      ld-2.19.so         [.] 0x00002ce0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000478c                         
     0.04%  lua      ld-2.19.so         [.] 0x000049bc                         
     0.04%  lua      ld-2.19.so         [.] 0x00004a10                         
     0.04%  lua      ld-2.19.so         [.] 0x00004a20                         
     0.04%  lua      ld-2.19.so         [.] 0x00004c40                         
     0.04%  lua      ld-2.19.so         [.] 0x000054dc                         
     0.04%  lua      ld-2.19.so         [.] 0x000055a8                         
     0.04%  lua      ld-2.19.so         [.] 0x000056b4                         
     0.04%  lua      ld-2.19.so         [.] 0x00005740                         
     0.04%  lua      ld-2.19.so         [.] 0x000057bc                         
     0.04%  lua      ld-2.19.so         [.] 0x00005a60                         
     0.04%  lua      ld-2.19.so         [.] 0x00005ac4                         
     0.04%  lua      ld-2.19.so         [.] 0x00005ae0                         
     0.04%  lua      ld-2.19.so         [.] 0x00005c5c                         
     0.04%  lua      ld-2.19.so         [.] 0x00005cb4                         
     0.04%  lua      ld-2.19.so         [.] 0x00005cc0                         
     0.04%  lua      ld-2.19.so         [.] 0x00005cd4                         
     0.04%  lua      ld-2.19.so         [.] 0x00005d20                         
     0.04%  lua      ld-2.19.so         [.] 0x00005f3c                         
     0.04%  lua      ld-2.19.so         [.] 0x00005f44                         
     0.04%  lua      ld-2.19.so         [.] 0x00005fb4                         
     0.04%  lua      ld-2.19.so         [.] 0x000066d0                         
     0.04%  lua      ld-2.19.so         [.] 0x00006740                         
     0.04%  lua      ld-2.19.so         [.] 0x00006b40                         
     0.04%  lua      ld-2.19.so         [.] 0x00006c1c                         
     0.04%  lua      ld-2.19.so         [.] 0x00006fa0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000701c                         
     0.04%  lua      ld-2.19.so         [.] 0x00007054                         
     0.04%  lua      ld-2.19.so         [.] 0x00007084                         
     0.04%  lua      ld-2.19.so         [.] 0x00007120                         
     0.04%  lua      ld-2.19.so         [.] 0x00007288                         
     0.04%  lua      ld-2.19.so         [.] 0x000072a0                         
     0.04%  lua      ld-2.19.so         [.] 0x00007d9c                         
     0.04%  lua      ld-2.19.so         [.] 0x00007f60                         
     0.04%  lua      ld-2.19.so         [.] 0x00008388                         
     0.04%  lua      ld-2.19.so         [.] 0x000084f4                         
     0.04%  lua      ld-2.19.so         [.] 0x00008584                         
     0.04%  lua      ld-2.19.so         [.] 0x000085a0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000868c                         
     0.04%  lua      ld-2.19.so         [.] 0x00008860                         
     0.04%  lua      ld-2.19.so         [.] 0x00008acc                         
     0.04%  lua      ld-2.19.so         [.] 0x00008be0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a74c                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a760                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a764                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a7c0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a840                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a880                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a92c                         
     0.04%  lua      ld-2.19.so         [.] 0x0000a940                         
     0.04%  lua      ld-2.19.so         [.] 0x0000ab3c                         
     0.04%  lua      ld-2.19.so         [.] 0x0000ab70                         
     0.04%  lua      ld-2.19.so         [.] 0x0000aba0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000cea0                         
     0.04%  lua      ld-2.19.so         [.] 0x0000d0f8                         
     0.04%  lua      ld-2.19.so         [.] 0x0000d274                         
     0.04%  lua      ld-2.19.so         [.] 0x0000d2fc                         
     0.04%  lua      ld-2.19.so         [.] 0x0000d828                         
     0.04%  lua      ld-2.19.so         [.] 0x0000e000                         
     0.04%  lua      ld-2.19.so         [.] 0x0000e460                         
     0.04%  lua      ld-2.19.so         [.] 0x0000ff20                         
     0.04%  lua      ld-2.19.so         [.] 0x00010460                         
     0.04%  lua      ld-2.19.so         [.] 0x0001059c                         
     0.04%  lua      ld-2.19.so         [.] 0x00015ad4                         
     0.04%  lua      ld-2.19.so         [.] 0x00015b00                         
     0.04%  lua      ld-2.19.so         [.] 0x000161b0                         
     0.04%  lua      ld-2.19.so         [.] 0x00016520                         
     0.04%  lua      ld-2.19.so         [.] 0x000166c0                         
     0.04%  lua      ld-2.19.so         [.] 0x000170d0                         
     0.04%  lua      ld-2.19.so         [.] 0x00018810                         
     0.04%  lua      ld-2.19.so         [.] 0x00018824                         
     0.04%  lua      ld-2.19.so         [.] 0x00018864                         
     0.04%  lua      ld-2.19.so         [.] 0x000189fc                         
     0.04%  lua      ld-2.19.so         [.] 0x00018ba0                         
     0.04%  lua      ld-2.19.so         [.] 0x00018eb8                         
     0.04%  lua      ld-2.19.so         [.] 0x00019238                         
     0.04%  lua      ld-2.19.so         [.] 0x0001947c                         
     0.04%  lua      ld-2.19.so         [.] 0x000194a0                         
     0.04%  lua      ld-2.19.so         [.] 0x00019720                         
     0.04%  lua      ld-2.19.so         [.] 0x000197fc                         
     0.04%  lua      ld-2.19.so         [.] 0x00019868                         
     0.04%  lua      ld-2.19.so         [.] 0x00019908                         
     0.04%  lua      ld-2.19.so         [.] 0x00019aac                         
     0.04%  lua      ld-2.19.so         [.] 0x00019ac0                         
     0.04%  lua      ld-2.19.so         [.] 0x00019ad8                         
     0.01%  lua      [kernel.kallsyms]  [k] perf_event_exec                    


