# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     0.03%  python   libc-2.19.so         [.] 0x00075030                            
     0.03%  python   libc-2.19.so         [.] 0x00073ed4                            
     0.03%  python   [kernel.kallsyms]    [k] tlb_do_page_fault_1                   
     0.03%  python   libc-2.19.so         [.] 0x00072ff8                            
     0.03%  python   ld-2.19.so           [.] 0x0000941c                            
     0.03%  python   ld-2.19.so           [.] 0x00018ebc                            
     0.03%  python   libc-2.19.so         [.] 0x0007500c                            
     0.03%  python   libc-2.19.so         [.] 0x000724a0                            
     0.03%  python   libc-2.19.so         [.] 0x00073338                            
     0.03%  python   [kernel.kallsyms]    [k] vma_adjust                            
     0.03%  python   libpython2.7.so.1.0  [.] meth_dealloc                          
     0.03%  python   libpython2.7.so.1.0  [.] PyOS_strtol                           
     0.03%  python   libc-2.19.so         [.] 0x00073384                            
     0.03%  python   [kernel.kallsyms]    [k] __alloc_pages_nodemask                
     0.03%  python   libc-2.19.so         [.] 0x00073f00                            
     0.03%  python   libpython2.7.so.1.0  [.] PyErr_Occurred                        
     0.03%  python   libpython2.7.so.1.0  [.] expr_constant                         
     0.03%  python   libpython2.7.so.1.0  [.] merge_collapse                        
     0.03%  python   libc-2.19.so         [.] 0x00074118                            
     0.03%  python   libpython2.7.so.1.0  [.] dict_items                            
     0.03%  python   libc-2.19.so         [.] 0x000724ec                            
     0.03%  python   [kernel.kallsyms]    [k] ovl_entry_real                        
     0.03%  python   libc-2.19.so         [.] 0x00073380                            
     0.03%  python   libpython2.7.so.1.0  [.] compiler_import.isra.13               
     0.03%  python   libpython2.7.so.1.0  [.] compiler_unit_check.isra.0            
     0.03%  python   libpython2.7.so.1.0  [.] compiler_arguments.isra.14            
     0.03%  python   libc-2.19.so         [.] 0x00072520                            
     0.03%  python   libc-2.19.so         [.] 0x0007249c                            
     0.03%  python   libc-2.19.so         [.] 0x00074114                            
     0.03%  python   libc-2.19.so         [.] 0x00074258                            
     0.03%  python   libc-2.19.so         [.] 0x00073f08                            
     0.03%  python   libc-2.19.so         [.] 0x00073f7c                            
     0.03%  python   libc-2.19.so         [.] 0x000731b0                            
     0.03%  python   libpython2.7.so.1.0  [.] PySequence_DelItem                    
     0.03%  python   libpython2.7.so.1.0  [.] ast_for_slice                         
     0.03%  python   libc-2.19.so         [.] _IO_feof                              
     0.03%  python   libc-2.19.so         [.] 0x00073240                            
     0.03%  python   libc-2.19.so         [.] 0x00072fd8                            
     0.03%  python   libpython2.7.so.1.0  [.] _is_legal_capsule                     
     0.03%  python   libc-2.19.so         [.] 0x000741e4                            
     0.03%  python   libc-2.19.so         [.] 0x00073ebc                            
     0.03%  python   libc-2.19.so         [.] 0x00074130                            
     0.03%  python   libc-2.19.so         [.] 0x000758ac                            
     0.03%  python   libc-2.19.so         [.] 0x00073224                            
     0.03%  python   libc-2.19.so         [.] 0x000741e8                            
     0.03%  python   libpython2.7.so.1.0  [.] fancy_roundup                         
     0.03%  python   libc-2.19.so         [.] 0x000740ec                            
     0.03%  python   libpython2.7.so.1.0  [.] ast_for_flow_stmt                     
     0.03%  python   ld-2.19.so           [.] 0x00019924                            
     0.03%  python   [kernel.kallsyms]    [k] free_hot_cold_page                    
     0.03%  python   [kernel.kallsyms]    [k] free_pages_and_swap_cache             
     0.03%  python   libpython2.7.so.1.0  [.] PyErr_Restore                         
     0.03%  python   libc-2.19.so         [.] 0x00074210                            
     0.03%  python   libc-2.19.so         [.] 0x00072fdc                            
     0.03%  python   libc-2.19.so         [.] 0x000740e4                            
     0.03%  python   libc-2.19.so         [.] 0x00075024                            
     0.03%  python   libpython2.7.so.1.0  [.] convertitem                           
     0.03%  python   libc-2.19.so         [.] 0x00073f3c                            
     0.03%  python   libpython2.7.so.1.0  [.] compiler_new_block.isra.9             
     0.03%  python   libpython2.7.so.1.0  [.] gc_list_size                          
     0.03%  python   libc-2.19.so         [.] 0x00073c00                            
     0.03%  python   libc-2.19.so         [.] 0x00073efc                            
     0.03%  python   libc-2.19.so         [.] 0x00073c04                            
     0.03%  python   libc-2.19.so         [.] 0x000731bc                            
     0.03%  python   libc-2.19.so         [.] 0x00073b74                            
     0.03%  python   libc-2.19.so         [.] 0x000755ec                            
     0.03%  python   libc-2.19.so         [.] 0x000741d8                            
     0.03%  python   libpython2.7.so.1.0  [.] forbidden_check                       
     0.03%  python   libc-2.19.so         [.] 0x000741b8                            
     0.03%  python   libpython2.7.so.1.0  [.] ste_new                               
     0.03%  python   libc-2.19.so         [.] 0x00072498                            
     0.03%  python   libc-2.19.so         [.] 0x00075010                            
     0.03%  python   [kernel.kallsyms]    [k] __bzero                               
     0.03%  python   libpython2.7.so.1.0  [.] mro_implementation                    
     0.03%  python   libc-2.19.so         [.] 0x00074120                            
     0.02%  python   libc-2.19.so         [.] 0x00073ee8                            
     0.02%  python   libc-2.19.so         [.] 0x000731cc                            
     0.02%  python   libpython2.7.so.1.0  [.] PyDict_SetItemString                  
     0.02%  python   libc-2.19.so         [.] 0x00073ecc                            
     0.02%  python   libpython2.7.so.1.0  [.] PyObject_Call                         
     0.02%  python   libc-2.19.so         [.] 0x00073e98                            
     0.02%  python   libc-2.19.so         [.] 0x00073004                            
     0.02%  python   [kernel.kallsyms]    [k] __inode_permission                    
     0.02%  python   [kernel.kallsyms]    [k] __wake_up                             
     0.02%  python   [kernel.kallsyms]    [k] __up_write                            
     0.02%  python   [kernel.kallsyms]    [k] __do_page_fault                       
     0.02%  python   libc-2.19.so         [.] 0x00073e8c                            
     0.02%  python   libpython2.7.so.1.0  [.] _PyObject_GC_New                      
     0.02%  python   libpython2.7.so.1.0  [.] get_parent                            
     0.02%  python   libpython2.7.so.1.0  [.] merge_freemem                         
     0.02%  python   [kernel.kallsyms]    [k] path_lookupat                         
     0.02%  python   libpython2.7.so.1.0  [.] assemble_free                         
     0.02%  python   ld-2.19.so           [.] 0x000098cc                            
     0.02%  python   libc-2.19.so         [.] 0x0007254c                            
     0.02%  python   libpython2.7.so.1.0  [.] slotptr                               
     0.02%  python   [kernel.kallsyms]    [k] filp_close                            
     0.02%  python   libc-2.19.so         [.] 0x00073008                            
     0.02%  python   libc-2.19.so         [.] 0x00072fc4                            
     0.02%  python   libc-2.19.so         [.] 0x000757f8                            
     0.02%  python   libpython2.7.so.1.0  [.] compiler_tuple                        
     0.02%  python   libpython2.7.so.1.0  [.] PyTuple_Size                          
     0.02%  python   [kernel.kallsyms]    [k] link_path_walk                        
     0.02%  python   libc-2.19.so         [.] 0x00072664                            
     0.02%  python   libpython2.7.so.1.0  [.] convert_3way_to_object                
     0.02%  python   libc-2.19.so         [.] 0x00072474                            
     0.02%  python   libpython2.7.so.1.0  [.] load_module                           
     0.02%  python   libc-2.19.so         [.] 0x00072530                            
     0.02%  python   libc-2.19.so         [.] 0x000725a0                            
     0.02%  python   libpython2.7.so.1.0  [.] PyMem_Free                            
     0.02%  python   libpython2.7.so.1.0  [.] compiler_addop_j                      
     0.02%  python   [kernel.kallsyms]    [k] task_work_run                         
     0.02%  python   libpython2.7.so.1.0  [.] _PyObject_New                         
     0.02%  python   libc-2.19.so         [.] 0x00075628                            
     0.02%  python   libc-2.19.so         [.] 0x00072678                            
     0.02%  python   libc-2.19.so         [.] 0x000735f8                            
     0.02%  python   libpython2.7.so.1.0  [.] vgetargs1                             
     0.02%  python   libpython2.7.so.1.0  [.] PyCFunction_Call                      
     0.02%  python   libc-2.19.so         [.] 0x000740fc                            
     0.02%  python   libc-2.19.so         [.] 0x00074038                            
     0.02%  python   libpython2.7.so.1.0  [.] PyCapsule_GetPointer                  
     0.02%  python   libc-2.19.so         [.] 0x00074208                            
     0.02%  python   libpython2.7.so.1.0  [.] list_clear                            
     0.02%  python   libpython2.7.so.1.0  [.] objargs_mktuple                       
     0.02%  python   libpython2.7.so.1.0  [.] class_lookup                          
     0.02%  python   [kernel.kallsyms]    [k] do_munmap                             
     0.02%  python   libpython2.7.so.1.0  [.] cmp_outcome                           
     0.02%  python   libc-2.19.so         [.] 0x000741d4                            
     0.02%  python   libc-2.19.so         [.] 0x000734e4                            
     0.02%  python   libc-2.19.so         [.] 0x0007322c                            
     0.02%  python   libpython2.7.so.1.0  [.] compiler_addop_name                   
     0.02%  python   libc-2.19.so         [.] 0x00073258                            
     0.02%  python   libc-2.19.so         [.] 0x000755a0                            
     0.02%  python   libpython2.7.so.1.0  [.] parsenumber.isra.7                    
     0.02%  python   libpython2.7.so.1.0  [.] PyObject_SetAttr                      
     0.02%  python   libc-2.19.so         [.] 0x00075654                            
     0.02%  python   libc-2.19.so         [.] 0x000740f0                            
     0.02%  python   libpython2.7.so.1.0  [.] PyTuple_ClearFreeList                 
     0.02%  python   libpython2.7.so.1.0  [.] adjust_tp_compare                     
     0.02%  python   libc-2.19.so         [.] 0x00074740                            
     0.02%  python   libc-2.19.so         [.] 0x0007410c                            
     0.02%  python   libc-2.19.so         [.] 0x00074194                            
     0.02%  python   libpython2.7.so.1.0  [.] PyString_DecodeEscape                 
     0.02%  python   libc-2.19.so         [.] 0x00074580                            
     0.02%  python   libc-2.19.so         [.] 0x00074680                            
     0.02%  python   libpython2.7.so.1.0  [.] compiler_while                        
     0.02%  python   libc-2.19.so         [.] 0x00074404                            
     0.02%  python   libc-2.19.so         [.] 0x00074214                            
     0.02%  python   libc-2.19.so         [.] 0x00075020                            
     0.02%  python   libc-2.19.so         [.] 0x000747d4                            
     0.02%  python   libpython2.7.so.1.0  [.] _Py_If                                
     0.02%  python   libpython2.7.so.1.0  [.] PyAST_FromNode                        
     0.02%  python   libc-2.19.so         [.] 0x000743ec                            
     0.02%  python   ld-2.19.so           [.] 0x000093d4                            
     0.02%  python   libc-2.19.so         [.] 0x000745b0                            
     0.02%  python   libc-2.19.so         [.] 0x000745ac                            
     0.02%  python   libpython2.7.so.1.0  [.] ast_for_testlist                      
     0.02%  python   libc-2.19.so         [.] 0x00073b80                            
     0.02%  python   libpython2.7.so.1.0  [.] add_methods                           
     0.02%  python   libpython2.7.so.1.0  [.] PyType_GenericAlloc                   
     0.02%  python   ld-2.19.so           [.] 0x00009228                            
     0.02%  python   [kernel.kallsyms]    [k] __lru_cache_add                       
     0.02%  python   libc-2.19.so         [.] 0x00072780                            
     0.02%  python   [kernel.kallsyms]    [k] __update_tlb                          
     0.02%  python   libc-2.19.so         [.] 0x00074160                            
     0.02%  python   libpython2.7.so.1.0  [.] PyWeakref_NewRef                      
     0.02%  python   [kernel.kallsyms]    [k] __radix_tree_lookup                   
     0.02%  python   libpython2.7.so.1.0  [.] PyImport_ImportModuleLevel            
     0.02%  python   libpython2.7.so.1.0  [.] countformat                           
     0.02%  python   libpython2.7.so.1.0  [.] method_get                            
     0.02%  python   [kernel.kallsyms]    [k] page_add_new_anon_rmap                
     0.02%  python   ld-2.19.so           [.] 0x0000b2cc                            
     0.02%  python   libpython2.7.so.1.0  [.] inherit_special                       
     0.02%  python   libpython2.7.so.1.0  [.] descr_new                             
     0.02%  python   libpython2.7.so.1.0  [.] pmerge                                
     0.02%  python   libc-2.19.so         [.] 0x00073eb8                            
     0.02%  python   libpython2.7.so.1.0  [.] descr_traverse                        
     0.02%  python   libc-2.19.so         [.] 0x00073f14                            
     0.01%  python   [kernel.kallsyms]    [k] perf_event_mmap                       
     0.01%  python   [kernel.kallsyms]    [k] perf_event_aux                        
     0.01%  python   ld-2.19.so           [.] 0x00018eb8                            
     0.01%  python   libc-2.19.so         [.] _dl_addr                              
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_GC_Track                     
     0.01%  python   [kernel.kallsyms]    [k] touch_atime                           
     0.01%  python   libpython2.7.so.1.0  [.] compiler_visit_slice                  
     0.01%  python   libc-2.19.so         [.] 0x000741f8                            
     0.01%  python   [kernel.kallsyms]    [k] kmem_cache_free                       
     0.01%  python   [kernel.kallsyms]    [k] copy_page_to_iter                     
     0.01%  python   [kernel.kallsyms]    [k] find_get_entry                        
     0.01%  python   [kernel.kallsyms]    [k] strlcpy                               
     0.01%  python   [kernel.kallsyms]    [k] vfs_read                              
     0.01%  python   [kernel.kallsyms]    [k] file_free_rcu                         
     0.01%  python   [kernel.kallsyms]    [k] release_pages                         
     0.01%  python   libc-2.19.so         [.] 0x000735ec                            
     0.01%  python   [mt_wifi]            [k] dev_rx_mgmt_frm                       
     0.01%  python   libpython2.7.so.1.0  [.] symtable_visit_slice                  
     0.01%  python   libpython2.7.so.1.0  [.] compiler_handle_subscr                
     0.01%  python   [mt_wifi]            [k] MonitorTxBcnRxPse                     
     0.01%  python   [kernel.kallsyms]    [k] fsnotify                              
     0.01%  python   libc-2.19.so         [.] _IO_un_link                           
     0.01%  python   libc-2.19.so         [.] 0x0007437c                            
     0.01%  python   libpython2.7.so.1.0  [.] tuplecontains                         
     0.01%  python   libpython2.7.so.1.0  [.] type___subclasscheck__                
     0.01%  python   libgcc_s.so.1        [.] __floatsidf                           
     0.01%  python   libc-2.19.so         [.] 0x000747c8                            
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_ifexpr                        
     0.01%  python   libpython2.7.so.1.0  [.] stackdepth                            
     0.01%  python   libpython2.7.so.1.0  [.] PyList_Size                           
     0.01%  python   [kernel.kallsyms]    [k] squashfs_copy_data                    
     0.01%  python   libpython2.7.so.1.0  [.] compute_code_flags                    
     0.01%  python   libpython2.7.so.1.0  [.] string_join                           
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_funcdef                       
     0.01%  python   libc-2.19.so         [.] 0x000734c4                            
     0.01%  python   [kernel.kallsyms]    [k] getname_flags                         
     0.01%  python   libc-2.19.so         [.] 0x00072570                            
     0.01%  python   [kernel.kallsyms]    [k] free_pages_prepare                    
     0.01%  python   libpython2.7.so.1.0  [.] _string_tailmatch                     
     0.01%  python   libc-2.19.so         [.] open                                  
     0.01%  python   libpython2.7.so.1.0  [.] compiler_boolop                       
     0.01%  python   libpython2.7.so.1.0  [.] read_directory                        
     0.01%  python   libc-2.19.so         [.] 0x00074628                            
     0.01%  python   libc-2.19.so         [.] 0x00073630                            
     0.01%  python   libc-2.19.so         [.] 0x00074564                            
     0.01%  python   libc-2.19.so         [.] memmove                               
     0.01%  python   libc-2.19.so         [.] 0x00074250                            
     0.01%  python   libpython2.7.so.1.0  [.] symtable_exit_block.isra.1            
     0.01%  python   libc-2.19.so         [.] 0x00074634                            
     0.01%  python   libpython2.7.so.1.0  [.] merge_init                            
     0.01%  python   libc-2.19.so         [.] read                                  
     0.01%  python   libc-2.19.so         [.] 0x00073f6c                            
     0.01%  python   libc-2.19.so         [.] 0x00074fe0                            
     0.01%  python   libc-2.19.so         [.] 0x000740f4                            
     0.01%  python   libpython2.7.so.1.0  [.] PyList_Sort                           
     0.01%  python   libpython2.7.so.1.0  [.] PySymtable_Build                      
     0.01%  python   libpython2.7.so.1.0  [.] symtable_visit_arguments              
     0.01%  python   libc-2.19.so         [.] 0x00073310                            
     0.01%  python   libc-2.19.so         [.] 0x0007460c                            
     0.01%  python   libpython2.7.so.1.0  [.] assemble_init                         
     0.01%  python   libc-2.19.so         [.] 0x000745d0                            
     0.01%  python   libc-2.19.so         [.] 0x00072680                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Assign                            
     0.01%  python   libc-2.19.so         [.] 0x00073290                            
     0.01%  python   libpython2.7.so.1.0  [.] PySequence_Contains                   
     0.01%  python   [kernel.kallsyms]    [k] mod_timer                             
     0.01%  python   libc-2.19.so         [.] 0x00073f1c                            
     0.01%  python   libc-2.19.so         [.] 0x0007b12c                            
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_try_stmt                      
     0.01%  python   libpython2.7.so.1.0  [.] frozenset_new                         
     0.01%  python   libc-2.19.so         [.] 0x00074050                            
     0.01%  python   libc-2.19.so         [.] 0x000741f0                            
     0.01%  python   libc-2.19.so         [.] 0x00075660                            
     0.01%  python   libpython2.7.so.1.0  [.] PyErr_GivenExceptionMatches           
     0.01%  python   libc-2.19.so         [.] 0x00073f2c                            
     0.01%  python   libpython2.7.so.1.0  [.] list_ass_item                         
     0.01%  python   libc-2.19.so         [.] 0x000734d8                            
     0.01%  python   libc-2.19.so         [.] 0x000732bc                            
     0.01%  python   libc-2.19.so         [.] 0x000741f4                            
     0.01%  python   libc-2.19.so         [.] 0x00073210                            
     0.01%  python   libc-2.19.so         [.] 0x00074768                            
     0.01%  python   libc-2.19.so         [.] 0x00074244                            
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_IsInstance                   
     0.01%  python   [kernel.kallsyms]    [k] vfs_getattr                           
     0.01%  python   libpython2.7.so.1.0  [.] compiler_isdocstring                  
     0.01%  python   libc-2.19.so         [.] 0x000732f4                            
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_factor                        
     0.01%  python   libc-2.19.so         [.] _IO_link_in                           
     0.01%  python   libpython2.7.so.1.0  [.] gen_dealloc                           
     0.01%  python   [kernel.kallsyms]    [k] do_filp_open                          
     0.01%  python   libc-2.19.so         [.] 0x000759bc                            
     0.01%  python   libpython2.7.so.1.0  [.] type_new                              
     0.01%  python   libc-2.19.so         [.] 0x00074794                            
     0.01%  python   libc-2.19.so         [.] 0x000758fc                            
     0.01%  python   libpython2.7.so.1.0  [.] tuple_iter                            
     0.01%  python   libc-2.19.so         [.] 0x00075848                            
     0.01%  python   libc-2.19.so         [.] 0x0007432c                            
     0.01%  python   libc-2.19.so         [.] 0x00073048                            
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_import_stmt                   
     0.01%  python   libc-2.19.so         [.] 0x00073304                            
     0.01%  python   [kernel.kallsyms]    [k] find_vma                              
     0.01%  python   libc-2.19.so         [.] 0x0007453c                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Import                            
     0.01%  python   libpython2.7.so.1.0  [.] PyImport_AddModule                    
     0.01%  python   libc-2.19.so         [.] 0x000734f4                            
     0.01%  python   libpython2.7.so.1.0  [.] do_call                               
     0.01%  python   libc-2.19.so         [.] 0x00073f68                            
     0.01%  python   libc-2.19.so         [.] 0x000747a8                            
     0.01%  python   libpython2.7.so.1.0  [.] fast_function                         
     0.01%  python   libc-2.19.so         [.] 0x00074760                            
     0.01%  python   libpython2.7.so.1.0  [.] weakref___new__                       
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_GetIter                      
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_comp_op.isra.5                
     0.01%  python   libpython2.7.so.1.0  [.] type_getattro                         
     0.01%  python   libc-2.19.so         [.] 0x000735e0                            
     0.01%  python   libpython2.7.so.1.0  [.] instancemethod_dealloc                
     0.01%  python   libc-2.19.so         [.] 0x00073f04                            
     0.01%  python   libpython2.7.so.1.0  [.] PyInt_ClearFreeList                   
     0.01%  python   libpython2.7.so.1.0  [.] _PyDict_MaybeUntrack                  
     0.01%  python   libc-2.19.so         [.] 0x0007420c                            
     0.01%  python   libpython2.7.so.1.0  [.] compiler_exit_scope                   
     0.01%  python   libc-2.19.so         [.] 0x000734e0                            
     0.01%  python   libc-2.19.so         [.] 0x00073f4c                            
     0.01%  python   libc-2.19.so         [.] 0x000755d0                            
     0.01%  python   libc-2.19.so         [.] 0x00075808                            
     0.01%  python   libc-2.19.so         [.] 0x00074220                            
     0.01%  python   [kernel.kallsyms]    [k] sys_read                              
     0.01%  python   libpython2.7.so.1.0  [.] PySymtable_Lookup                     
     0.01%  python   libc-2.19.so         [.] 0x000741ac                            
     0.01%  python   libc-2.19.so         [.] 0x00073010                            
     0.01%  python   libc-2.19.so         [.] 0x00072728                            
     0.01%  python   libc-2.19.so         [.] 0x00072fc8                            
     0.01%  python   ld-2.19.so           [.] 0x00018eb4                            
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_binop                         
     0.01%  python   libc-2.19.so         [.] 0x0007424c                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_Expr                              
     0.01%  python   libpython2.7.so.1.0  [.] ast_for_except_clause                 
     0.01%  python   libc-2.19.so         [.] 0x000733a4                            
     0.01%  python   libc-2.19.so         [.] 0x0007457c                            
     0.01%  python   [kernel.kallsyms]    [k] vmacache_valid_mm                     
     0.01%  python   libc-2.19.so         [.] 0x00073c0c                            
     0.01%  python   [kernel.kallsyms]    [k] filemap_map_pages                     
     0.01%  python   libpython2.7.so.1.0  [.] _PyList_Extend                        
     0.01%  python   [kernel.kallsyms]    [k] __netdev_alloc_frag                   
     0.01%  python   ld-2.19.so           [.] 0x00009170                            
     0.01%  python   libc-2.19.so         [.] 0x00074814                            
     0.01%  python   libc-2.19.so         [.] _IO_file_underflow                    
     0.01%  python   libc-2.19.so         [.] 0x00074830                            
     0.01%  python   libpython2.7.so.1.0  [.] PyType_Ready                          
     0.01%  python   libc-2.19.so         [.] 0x00074548                            
     0.01%  python   [kernel.kallsyms]    [k] lookup_fast                           
     0.01%  python   libc-2.19.so         [.] 0x000732b8                            
     0.01%  python   libpython2.7.so.1.0  [.] PyArg_ParseTupleAndKeywords           
     0.01%  python   libc-2.19.so         [.] 0x0007335c                            
     0.01%  python   [kernel.kallsyms]    [k] handle_sys                            
     0.01%  python   libpython2.7.so.1.0  [.] PySequence_Fast                       
     0.01%  python   libc-2.19.so         [.] 0x000747e8                            
     0.01%  python   libc-2.19.so         [.] 0x0007455c                            
     0.01%  python   libpython2.7.so.1.0  [.] PyDescr_NewWrapper                    
     0.01%  python   ld-2.19.so           [.] 0x0000b7e4                            
     0.01%  python   libc-2.19.so         [.] 0x00074fe4                            
     0.01%  python   libc-2.19.so         [.] 0x00074424                            
     0.01%  python   libc-2.19.so         [.] 0x00073274                            
     0.01%  python   ld-2.19.so           [.] 0x000093e4                            
     0.01%  python   ld-2.19.so           [.] 0x000098d8                            
     0.01%  python   ld-2.19.so           [.] 0x000197c0                            
     0.01%  python   ld-2.19.so           [.] 0x0001992c                            
     0.01%  python   ld-2.19.so           [.] 0x000091a0                            
     0.01%  python   [kernel.kallsyms]    [k] __wake_up_bit                         
     0.01%  python   ld-2.19.so           [.] 0x00019918                            
     0.01%  python   libc-2.19.so         [.] 0x00074828                            
     0.01%  python   libc-2.19.so         [.] 0x000755f0                            
     0.01%  python   libc-2.19.so         [.] 0x00074550                            
     0.01%  python   libc-2.19.so         [.] 0x000747fc                            
     0.01%  python   libpython2.7.so.1.0  [.] collect                               
     0.01%  python   libpython2.7.so.1.0  [.] type_is_gc                            
     0.01%  python   ld-2.19.so           [.] 0x0000916c                            
     0.01%  python   ld-2.19.so           [.] 0x0001991c                            
     0.01%  python   [kernel.kallsyms]    [k] page_remove_rmap                      
     0.01%  python   [kernel.kallsyms]    [k] finish_task_switch.isra.57            
     0.01%  python   libpython2.7.so.1.0  [.] add_members                           
     0.01%  python   [kernel.kallsyms]    [k] vm_normal_page                        
     0.01%  python   ld-2.19.so           [.] 0x00010570                            
     0.01%  python   [mt_wifi]            [k] RTMPMaintainPMKIDCache                
     0.01%  python   ld-2.19.so           [.] 0x000098a0                            
     0.01%  python   [kernel.kallsyms]    [k] anon_vma_interval_tree_remove         
     0.01%  python   libpython2.7.so.1.0  [.] PyObject_Realloc                      
     0.01%  python   libc-2.19.so         [.] 0x0007251c                            
     0.01%  python   [mt_wifi]            [k] MacTableLookup                        
     0.01%  python   [kernel.kallsyms]    [k] perf_event_aux_ctx                    
     0.01%  python   libc-2.19.so         [.] 0x000734d0                            
     0.01%  python   ld-2.19.so           [.] 0x000091c4                            
     0.01%  python   libpython2.7.so.1.0  [.] PySymtable_Free                       
     0.01%  python   [kernel.kallsyms]    [k] __down_write_nested                   
     0.01%  python   libc-2.19.so         [.] 0x000734c8                            
     0.01%  python   ld-2.19.so           [.] 0x000099c0                            
     0.01%  python   libpython2.7.so.1.0  [.] check_duplicates                      
     0.01%  python   libpython2.7.so.1.0  [.] do_mklist.constprop.1                 
     0.01%  python   libc-2.19.so         [.] 0x0007339c                            
     0.01%  python   [kernel.kallsyms]    [k] lru_cache_add_active_or_unevictable   
     0.01%  python   [kernel.kallsyms]    [k] vm_pgprot_modify                      
     0.01%  python   [kernel.kallsyms]    [k] __fsnotify_parent                     
     0.01%  python   ld-2.19.so           [.] 0x00008ed4                            
     0.01%  python   [kernel.kallsyms]    [k] may_expand_vm                         
     0.01%  python   libc-2.19.so         [.] 0x00074234                            
     0.01%  python   [kernel.kallsyms]    [k] __zone_watermark_ok                   
     0.01%  python   [kernel.kallsyms]    [k] zone_watermark_ok                     
     0.01%  python   libc-2.19.so         [.] fopen64                               
     0.01%  python   libc-2.19.so         [.] 0x0007330c                            
     0.01%  python   libc-2.19.so         [.] 0x000741ec                            
     0.01%  python   libc-2.19.so         [.] 0x00073bfc                            
     0.01%  python   libc-2.19.so         [.] 0x000743e8                            
     0.01%  python   libpython2.7.so.1.0  [.] _Py_FunctionDef                       
     0.01%  python   libpython2.7.so.1.0  [.] compiler_init                         
     0.01%  python   libc-2.19.so         [.] strrchr                               
     0.01%  python   libc-2.19.so         [.] 0x0007b0b8                            
     0.01%  python   libpython2.7.so.1.0  [.] load_source_module                    
     0.01%  python   [kernel.kallsyms]    [k] put_page                              
     0.01%  python   libpython2.7.so.1.0  [.] compiler_lambda                       
     0.01%  python   libc-2.19.so         [.] fclose                                
     0.01%  python   libpython2.7.so.1.0  [.] PyDescr_NewGetSet                     
     0.01%  python   libpython2.7.so.1.0  [.] PyFrame_BlockSetup                    
     0.01%  python   libpython2.7.so.1.0  [.] PyInt_AsSsize_t                       
     0.01%  python   libpython2.7.so.1.0  [.] string_subscript                      
     0.01%  python   libpython2.7.so.1.0  [.] compiler_body                         
     0.01%  python   libpython2.7.so.1.0  [.] compiler_use_new_block                
     0.01%  python   libc-2.19.so         [.] 0x0007277c                            
     0.01%  python   libc-2.19.so         [.] 0x000740a0                            
     0.01%  python   [kernel.kallsyms]    [k] __fget                                
     0.01%  python   [kernel.kallsyms]    [k] blast_dcache32                        
     0.01%  python   ld-2.19.so           [.] 0x0000ba00                            
     0.01%  python   ld-2.19.so           [.] 0x0000d020                            
     0.01%  python   libdl-2.19.so        [.] 0x00000dd0                            
     0.01%  python   libpython2.7.so.1.0  [.] PyErr_Fetch                           
     0.01%  python   libpython2.7.so.1.0  [.] PyErr_NewException                    
     0.01%  python   libpython2.7.so.1.0  [.] PyMember_GetOne                       
     0.01%  python   libpython2.7.so.1.0  [.] set_new                               
     0.01%  python   libpython2.7.so.1.0  [.] type_error.isra.0                     
     0.01%  python   libc-2.19.so         [.] 0x000742d4                            
     0.01%  python   libc-2.19.so         [.] 0x000745e8                            
     0.01%  python   libpython2.7.so.1.0  [.] PyDict_Update                         
     0.01%  python   libpython2.7.so.1.0  [.] check_unoptimized                     
     0.01%  python   [mt_wifi]            [k] RTMP_COM_IoctlHandle                  
     0.01%  python   libc-2.19.so         [.] 0x000732dc                            
     0.01%  python   [kernel.kallsyms]    [k] r4k_dma_cache_inv                     
     0.01%  python   [mt_wifi]            [k] rtmp_rx_done_handle                   
     0.01%  python   libpython2.7.so.1.0  [.] compiler_from_import                  
     0.01%  python   libpython2.7.so.1.0  [.] merge_hi                              
     0.01%  python   libc-2.19.so         [.] 0x00072468                            
     0.01%  python   libpython2.7.so.1.0  [.] PyErr_Format                          
     0.01%  python   libpython2.7.so.1.0  [.] import_all_from                       
     0.01%  python   libc-2.19.so         [.] 0x00073614                            
     0.01%  python   libc-2.19.so         [.] 0x0007440c                            
     0.01%  python   libc-2.19.so         [.] 0x000746b0                            
     0.01%  python   libc-2.19.so         [.] 0x000734b4                            
     0.01%  python   libc-2.19.so         [.] 0x0007445c                            
     0.01%  python   libc-2.19.so         [.] 0x00074730                            
     0.01%  python   libc-2.19.so         [.] 0x00075868                            
